ID,Name_deu,Name_Eng,Name,SMILES,RT,CAS
666,Chelidonine,Chelidonine,Chelidonine,CN1CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6,5.325,476-32-4
2184,Glucolesquerellin,Glucolesquerellin,Glucolesquerellin,CSCCCCCCC(=NOS(=O)(=O)O)SC1C(C(C(C(O1)CO)O)O)O,4.067,74542-17-9
